CODE,NAME,COMMON NAME,OWNERSHIP,TYPE,STATUS,ZONE,DISTRICT,DATE OPENED,LATITUDE,LONGITUDE
BT240473,"Jere, Raymond M. Medicare",Medicare,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.78671,35.00799
LL040474,Jti Leaf Clinic Kanengo,Jti Leaf Clinic,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.8898,33.80487
MZ160475,Jerusalem Private Clinic,Jerusalem Private Clinic,Mission/Faith-based (other than CHAM),Clinic,Non-functional,North Zone,Mzimba,Jan 1st 75,,
CP060476,Joy Private Clinic,Joy Private Clinic,Private,Clinic,Functional,North Zone,Chitipa,Dec 8th 18,-9.7046383,33.2749897
MC010477,Jumpha Private Clinic,Jumpha,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.92459,33.22757
LL040478,"Kabota, Nathaniel S. Mt. Nkhom",Kabota,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.87567,33.75477
LL040479,Kabudula Rural Hospital,Kabudula,Government,Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.81972,33.44838
MZ160480,Kabuwa Health Centre,Kabuwa,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-12.51726,34.07395
MZ160481,Kabwafu Health Centre,Kabwafu,Government,Health Centre,Functional,North Zone,Mzimba,Dec 31st 74,-11.30869,33.52556
LL040482,"Kachepa, Stephen J. Kama Priva",Kachepa,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.00913,33.81687
LL040483,Kachere Clinic,kachere,Private,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.00511,33.81734
KB050484,Kachere Health Centre,Kachere,Government,Health Centre,Functional,North Zone,Nkhata Bay,Jan 1st 79,-11.606664,34.2536593
BT240485,Kachere Rehabilitation Centre,Kachere Rehabilitation,Non-Government,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,-15.80339,35.01819
LL040486,Kachi Pvt Clinic - Area 18A,Kachi Pvt Clinic - Area,Private,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 11,,
DE030487,Kachindamoto,Kachindamoto,Government,Health Post,Functional,Centrals West Zone,Dedza,Jan 1st 75,-14.2143955,34.5529965
MG200488,Kadango Dispensary,Kadango,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.060711,35.186208
TH310489,Kadango Health Centre,Kadango Private Clinic.,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,-16.00683,35.31009
BT240490,Kadidi Health Centre,Kadidi,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,-15.66083,35.02212
DE030491,Kafele Health Centre,Kafere,Government,Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.43168,33.71746
LL040492,"Kafodya, Charles M. Mpumulo Pr",Kafodya,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.0154,33.78389
MZ160493,Kafukule Health Centre,Kafukule,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 91,-11.4575,33.63395
MC010494,Kaigwazanga Health Centre,Kaigwazanga,Government,Health Centre,Functional,Centrals West Zone,Mchinji,Jan 1st 84,-13.62678,32.92836
CK270495,Kakoma Health Centre,Kakoma,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,-16.09819,34.62398
NS300496,Kalemba Health Centre,Kalemba,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Nsanje,Jan 1st 75,-16.57572,35.11207
BK170497,Kalembo Health Centre,Kalembo,Government,Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,-14.84268,35.17081
KU070498,Kalikene Private Clinic,Kalikene,Private,Clinic,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.0389,33.48138
MZ160499,Kalikumbi Health Centre,Kalikumbi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-12.2038,33.33352
NT120500,Kalimanjira,Kalimanjira,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Nov 2nd 11,-14.866774,34.90896
NT080501,Kalimanjira,Kalimanjira,Government,Dispensary,Functional,Central East Zone,Ntchisi,Jan 1st 75,,
PH220502,Kalinde,Kalinde,Government,Health Centre,Functional,South West Zone,Phalombe,Jul 15th 87,-15.67212,35.728338
CP060503,Kalira,Near Kalira school,Government,Health Post,Functional,North Zone,Chitipa,Apr 12th 00,-9.575143,33.312223
TH310504,"Kaliwo, Ignacious S. Luchenza",Luchenza Private clinic,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,-16.00796,35.30939
NT120505,Kaloga Maternity,Kaloga,Government,Clinic,Non-functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.90706,34.58044
BT240506,Kalong - Limbe,Kalong - Limbe,Mission/Faith-based (other than CHAM),Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,-15.80902,35.05916
DE030507,Kalulu Health Centre,Kalulu,Government,Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-13.99695,34.19753
CK270508,"Kalulu Health Centre, Chikwawa","Kalulu Health Centre, Chikwawa",Government,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,,
KU070509,Kaluluma Rural Hospital,Kaluluma,Government,Hospital,Functional,Central East Zone,Kasungu,Jan 1st 58,-12.57759,33.51859
LL040510,"Kamalizeni, Joe N. Tachira Pri",Tachira,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.01916,33.72849
MZ160511,Kamanda,Kamanda,Government,Health Post,Functional,North Zone,Mzimba,Jan 1st 75,-11.149343,34.032283
NK100512,"Kamanga, Lester P, Hossana Pri",Hossana clinic,Private,Clinic,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.92861,34.28305
LL040513,Kamatenda Private Clinic,Kamatenda pvt clinic,Private,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.00752,33.82203
LL040514,Kambanizithe,Kambanizithe,Government,Health Post,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.354443,33.710991
MU210515,Kambenje Health Centre,Kambenje,Government,Health Centre,Functional,South West Zone,Mulanje,Jan 1st 75,-15.85308,35.56394
NT120516,Kambilonjo Private Clinic,Kambilonjo,Private,Clinic,Non-functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.935073,34.589779
LL040517,"Kambiya, Paulino A M. Demera P",Kambiya,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.82433,33.44662
KU070518,Kamboni Health Centre,Kamboni,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 86,-13.30759,33.18189
CP060519,Kameme Health Centre,Kameme,Government,Health Centre,Functional,North Zone,Chitipa,Dec 1st 78,-9.54425,33.13134
LL040520,"Kamiza, Mary Z. Kim's Medical",Kims,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.99003,33.77382
NT120521,Kampanje Health Centre,Kampanje,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Apr 9th 10,-14.59947,34.58684
NS300522,Kamphata Health Post,Kamphata,Government,Health Post,Functional,South East Zone,Nsanje,Jan 1st 75,-17.0468,35.21658
LL040523,Kamphoni,Kamphoni,Government,Health Post,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.31496,33.634283
LL040524,Kampini,Kampini,Government,Health Post,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.29642,33.783076
NT080525,Kamsonga Health Centre,Kamsonga,Government,Health Centre,Functional,Central East Zone,Ntchisi,Jan 1st 75,-13.2745621,33.7993437
MZ160526,Kamteteka Health Centre,Kamteteka,Government,Health Centre,Functional,North Zone,Mzimba,Feb 5th 84,-11.83649,33.35892
KU070527,Kamuzu Academy Clinic,Kamuzu Academy clinic,Private,Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,-13.02938,33.68843
LL040528,Kamuzu Barracks Hospital,Kamuzu Barracks,Government,Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.98131,33.82105
LL040529,Kamuzu Central Hospital,Central,Government,Central Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.97639,33.78512
MZ160530,Kamwe Health Centre,Kamwe,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-11.10265,33.78911
MU210531,Kamwendo,Kamwendo,Government,Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,-15.674962,35.476907
DE030532,Kaname/Mdeza Dispensary/Health Center,Mdeza,Government,Dispensary,Functional,Centrals West Zone,Dedza,Dec 31st 74,-13.487476  ,33.92326
KB050533,Kande Health Centre,Kande,Government,Health Centre,Functional,North Zone,Nkhata Bay,Jan 1st 75,-11.93641,34.10944
NT120534,Kandeu Health Centre,Kandeu,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.60262,34.61621
LL040535,Kanengo Tobacco Processors Cli,Kanengo Tobacco and Processors Clinic,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.902,33.80639
LL040536,Kang'oma Health Centre,Kang'oma,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.97817,33.88219
NT080537,Kangolwa Health centre,Songeya,Government,Health Centre,Functional,Central East Zone,Ntchisi,Jan 1st 75,-13.37046,34.07048
BT240538,Kanjedza MASM Clinic,Kanjedza MASM Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,,
BT240539,Kanjedza Medical centre,Kanjedza Medical Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.81,35.05
BT240540,Kanjedza Police,Kanjeza Police dispensary,Government,Dispensary,Functional,South East Zone,Blantyre,Jan 1st 75,-15.815721,35.048525
BK170541,Kankao Health Centre,Kankao,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,-15.05425,34.92264
DE030542,Kanyama Health Centre,Kanyama,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.24015,34.32356
CP060543,Kanyenjere,Kanyenjere,Government,Health Post,Functional,North Zone,Chitipa,Jan 1st 00,-9.762793,33.417264
DE030544,Kanyerere,Kanyerere,Government,Health Post,Non-functional,Centrals West Zone,Dedza,Jan 1st 75,-13.966356,34.226041
MG200545,"Kanyerere, Stuart. Stuka Priva",Stuka Private Clinic,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,-14.48245,35.26128
DE030546,Kanyezi Health Centre,Kanyezi,Government,Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.31391,33.95303
DA020547,"Kanyika, Mwakalinga M. Alinafe",Kanyika,Private,Clinic,Functional,Central East Zone,Dowa,Dec 1st 98,-13.54849,33.7421
NS300548,Kanyimbi Health Post,Kanyimbi,Government,Health Post,Functional,South East Zone,Nsanje,Jan 1st 75,-16.69453,34.967
MZ160549,Kanyunya,Kanyunya,Private,Clinic,Non-functional,North Zone,Mzimba,Jan 1st 75,-12.35,33.55
NK100550,Kaongozi Dispensary,Kaongozi,Government,Dispensary,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.43665,34.04998
MC010551,Kapanga Health Centre,Kapanga,Government,Health Centre,Functional,Centrals West Zone,Mchinji,Jan 1st 92,-14.05997,33.30626
MZ160552,Kapangamawe,Kapangamawe,Government,Health Post,Functional,North Zone,Mzimba,Jan 1st 75,-11.449527,33.680755
KU070553,Kapelula Health Centre,Kapelula,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 78,-12.87767,33.87086
CP060554,Kapenda Health Centre,Kapenda,Government,Health Centre,Functional,North Zone,Chitipa,Dec 31st 74,-9.49394,33.24911
LL040555,Kapeni Clinic - Project Malawi,Kapeni Clinic - Project,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
BT240556,Kapeni Dream Centre,Kapeni Dream Centre,Christian Health Association of Malawi (CHAM),Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.62,35.01
NT120557,Kapeni Health Centre,Kapeni,Government,Clinic,Functional,Centrals West Zone,Ntcheu,Sep 14th 77,-15.00511,34.77059
DE030558,Kapesi,Kapesi,Private,Clinic,Non-functional,Centrals West Zone,Dedza,Jan 1st 75,-14.393757,34.325533
SA090559,Kaphatenga Health Centre,Mission,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Central East Zone,Salima,Jan 1st 75,-13.76222,34.38418
DE030560,Kaphuka Health Centre,Kaphuka,Government,Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.16013,34.19001
CK270561,Kapichira Egenco Clinic,Egenco Clinic,Private,Clinic,Functional,South East Zone,Chikwawa,Jan 1st 75,-15.894817,34.757519
NK100562,Kapiri Health Centre (Nkhotakota),Kapiri,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-13.21616,34.31136
MG200563,Kapire Dream Centre,Kapire,Christian Health Association of Malawi (CHAM),Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.7858459,34.9994469
MC010564,Kapiri Mission Hospital,Our Lady of Mount Carmel,Mission/Faith-based (other than CHAM),Hospital,Functional,Centrals West Zone,Mchinji,Jan 1st 73,-15.556000,35.8193000
CP060565,Kapoka,Kapoka,Government,Health Post,Non-functional,North Zone,Chitipa,Jan 1st 75,-9.780792,33.453954
KA150566,Kaporo Rural Hospital,Kibwe,Government,Hospital,Functional,North Zone,Karonga,Jan 30th 52,-9.76756,33.87466
DA020567,Kaputalambwe,kaputalambwe,Government,Health Post,Functional,Central East Zone,Dowa,Jan 1st 75,-13.7653091,33.898449
KU070568,Kapyanga Health Centre,Kapyanga,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-12.82384,33.78842
KA150569,Karonga BLM,BLM,Private,Clinic,Functional,North Zone,Karonga,Jan 1st 75,-9.9402745,33.9242761
KA150570,Karonga District Hospital,Chaboma,Government,District Hospital,Functional,North Zone,Karonga,Jan 1st 31,-9.95545,33.91113
CP060571,Karopa,Karopa,Government,Health Post,Functional,North Zone,Chitipa,Jan 1st 00,-10.216613,33.650444
KU070572,Kasalika Health Centre,Kasalika,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.03985,33.49866
KU070573,"Kasalika Private Clinic, Chimb",Kasalika Private Clinic,Private,Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,-13.03522,33.49927
BT240574,Kasamba,Kasamba Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.84,35.09
RU140575,Kasambala Private Clinic,Kasambala,Private,Clinic,Functional,North Zone,Rumphi,Apr 1st 96,-10.77593,34.03908
NK100576,Kasasa Clinic,Kasasa,Private,Clinic,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.53753,34.11818
TH310577,Kasembeleka,Kasembereka Dispensary,Private,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,-16.12131,35.09902
DA020578,Kasese/Lifeline Malawi Health,Kasese,Non-Government,Health Centre,Functional,Central East Zone,Dowa,Dec 30th 91,-13.33338,33.57629
CP060579,Kaseye Mission Hospital,Kaseye,Christian Health Association of Malawi (CHAM),Hospital,Functional,North Zone,Chitipa,Aug 23rd 48,-9.6665615,33.3740432
DE030580,Kasina Health Centre,Kasina,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.143,34.13183
NT120581,Kasinje Health Centre,Kasinje,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.52315,34.67642
CK270582,Kasinthula Dispensary,kasinthula,Government,Dispensary,Non-functional,South East Zone,Chikwawa,Jan 1st 75,-16.07416,34.81651
NK100583,Kasitu Health Centre,Seventh day,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.30938,34.0343
LL040584,"Kasmani, Mohamed I M. Hasani M",ZMK medical centre,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.97668,33.7513
KA150585,Kasoba Health Centre,Kasoba,Government,Health Centre,Functional,North Zone,Karonga,Dec 31st 74,-9.87355,33.86972
RU140586,Kasonkhwe,Kasonkhwe clinic,Christian Health Association of Malawi (CHAM),Health Post,Functional,North Zone,Rumphi,Dec 31st 74,-10.733449,34.0789
KU070587,Kasungu BLM,BLM,Non-Government,Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,-13.04309,33.47858
KU070588,Kasungu District Hospital,Kasungu,Government,District Hospital,Functional,Central East Zone,Kasungu,Jan 1st 69,-13.03579,33.48041
KU070589,Kasungu Engineers Battalion,Mzinza,Government,Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,,
KU070590,Kasungu Prison,Kasungu Prison clinic,Government,Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,-13.02095,33.45716
MZ160591,Kaswavipindi private Clinic,Kaswavipindi,Private,Clinic,Non-functional,North Zone,Mzimba,Jan 1st 75,-11.9006108,33.5944116
SA090592,Katawa Clinic,katawa,Private,Dispensary,Functional,Central East Zone,Salima,Jan 1st 75,-13.71314,34.31801
LL040593,Katchale Health Centre,Katchale,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.2836,33.90782
MG200594,Katema Health Centre,Katema,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Mangochi,Jan 1st 75,-14.5257587,35.0373813
SA090595,Katemela Clinic,Katemela,Private,Clinic,Non-functional,Central East Zone,Salima,Jan 1st 75,-13.78493,34.45888
MZ160596,Katete Community Hospital,Mission,Christian Health Association of Malawi (CHAM),Hospital,Functional,North Zone,Mzimba,Jan 1st 75,-12.34592,33.61421
NK100597,Katimbira Health Centre,Katimbira,Government,Health Centre,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.7571482,34.2177405
KA150598,Katiri Health Center,Katiri,Government,Dispensary,Functional,North Zone,Karonga,Mar 31st 15,-10.0693605,33.8813089
MC010599,Katope,Katope,Government,Health Post,Functional,Centrals West Zone,Mchinji,Jan 1st 75,-11.074251,34.007405
RU140600,Katowo Rural Hospital,Katowo,Government,Hospital,Functional,North Zone,Rumphi,Jan 1st 50,-10.81278,33.52222
NT120601,Katsekera Health Centre,Katsekera,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 85,-15.03336,34.64072
MG200602,Katuli Health Centre,Katuli,Government,Health Centre,Functional,South West Zone,Mangochi,Jan 1st 75,-14.17962,35.44476
MC010603,Katutula,Katutula(sawala),Government,Health Post,Non-functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.440388,32.904728
DE030604,Kaundu Health Centre,Kaundu,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.29368,34.62839
CP060605,Kavukuku,Kavukuku,Government,Health Post,Non-functional,North Zone,Chitipa,Jan 1st 75,-10.275083,33.571761
KB050606,Kavuzi Clinic,Kavuzi,Private,Clinic,Functional,North Zone,Nkhata Bay,Jan 1st 75,-11.67441,34.08166
KB050607,Kavuzi Clinic - Kawalazi Estate Clinic,Kavuzi,Private,Dispensary,Functional,North Zone,Nkhata Bay,Jan 1st 75,,
KB050608,Kavuzi New Cummock Clinic - Kajalire CCAP,Kavuzi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,North Zone,Nkhata Bay,Jan 1st 75,,
KB050609,Kawalazi Estate Clinic,Kawalazi,Private,Clinic,Functional,North Zone,Nkhata Bay,Jan 1st 75,-11.64406,34.10983
LL040610,Kawale Health Centre,Kawale,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.99175,33.79757
LL040611,Kawale Medical Services,Kawale clinic,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.99034,33.79717
KU070612,Kawamba Health Centre,Kawamba,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.29575,33.3393
MZ160613,Kaweche Health Centre,Kaweche,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-11.340511,33.8662969
MC190614,Kawinga Dispensary,Nanyumbu,Government,Dispensary,Functional,South West Zone,Machinga,Jan 1st 75,-14.85468,35.57198
KA150615,Kayelekela,Kayelekela,Government,Dispensary,Functional,North Zone,Karonga,Sep 24th 19,-9.970284,33.688526
DA020616,Kayembe Health Centre,Kayembe,Government,Health Centre,Functional,Central East Zone,Dowa,Jan 1st 85,-13.64256,33.58301
MG200617,"Kayumba, Jerome. Tulame Privat",Tulame,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,-14.69346,35.17977
MC010618,Kazyozyo Health Post,Kazyozyo,Government,Health Centre,Functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.57544,32.86387
BT240619,Khama Private Clinic,Khama Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,,
LL040620,Khama Private Clinic,Khama,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.00916,33.81686
MU210621,Khamalathu Private Clinic,Khamalathu,Private,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,-16.10652,35.34491
LL040622,"Kharodia, Ahmed I.",kharodia,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.98924,33.77741
MU210623,Khaya,Khaya,Christian Health Association of Malawi (CHAM),Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,-15.9890738,35.3945997
CK270624,Khokhwa,Khokhwa,Government,Health Post,Non-functional,South East Zone,Chikwawa,Jan 1st 75,-16.526844,34.846862
KU070625,Khola Health Centre,Khola,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.34447,33.31649
SA090626,Khombedza Health Centre,Khombedza,Government,Health Centre,Functional,Central East Zone,Salima,Jan 1st 75,-13.59695,34.31111
KB050627,Khondowe Health Centre,Nkondowe,Government,Health Centre,Functional,North Zone,Nkhata Bay,Jan 1st 75,-11.07281,34.21939
MU210628,Khongoloni,Khongoloni,Private,Dispensary,Non-functional,South West Zone,Mulanje,Jan 1st 75,-16.134032,35.530613
LL040629,Khongoni Health Centre,Khongoni,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.77451,33.36761
MC190630,"Khonje, Anaclate P, Twapochele",Twapochele,Private,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,-14.99535,35.49268
TH310631,Khonjeni Health Centre,Khonjeni health centre,Government,Health Centre,Functional,South East Zone,Thyolo,Dec 31st 74,-16.09692,35.27129
MZ160632,Khosolo Health Centre,Khosolo,Government,Health Centre,Functional,North Zone,Mzimba,Jul 15th 89,-12.4402,33.79133
BT240633,"Khuoge, Dane","Khuoge, Dane",Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.76708,35.07471
NT080634,Khuwi Health Centre,Iwawe,Government,Health Centre,Functional,Central East Zone,Ntchisi,Jan 1st 75,-13.43192,33.83367
LL040635,Kim's Medical Centre,Kim's Medical,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
MG200636,Koche Community Hospital,Koche hospital,Christian Health Association of Malawi (CHAM),Hospital,Functional,South West Zone,Mangochi,Jan 1st 75,-14.3333683,35.1434685
MC010637,Kochilira Rural Hospital,Kochilira,Government,Hospital,Functional,Centrals West Zone,Mchinji,Jan 1st 56,-13.78239,33.04385
CP060638,Kopakopa,Kopakopa,Government,Health Post,Functional,North Zone,Chitipa,Jan 1st 10,-10.138347,33.702798
BT240639,Kotecha Leesha D.,Kotecha Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.7895,35.08616
KU070640,Mziza Health Centre,Mziza,Other,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.27941,33.50405
CK270641,Kubalalika Health Post,Kubalalika,Government,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,-15.90796,34.39405
MG200642,Kukalanga Dispensary,Kukalanga,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.6373449,35.1800722
TH310643,Kumadzi Dispensary,Kumadzi,Private,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,-16.1003,35.28876
MU210644,Kumadzi Estate Clinic,Kumadzi Estate Clinic,Private,Dispensary,Functional,South West Zone,Mulanje,Jan 1st 75,,
KU070645,kumchenga private clinic,Kumchenga,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,-12.574862,33.5142678
MW280646,Kunenekude Health Centre,Kunenekude,Government,Health Centre,Functional,South East Zone,Mwanza,Jan 1st 75,-15.46467,34.49142
KA150647,"Kwambukwa Private Clinic, Mbuk",Kwambukwa,Private,Clinic,Functional,North Zone,Karonga,Jun 30th 01,-9.94049,33.92423
NT120648,Kwataine Dispensary,Kwataine,Government,Clinic,Non-functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.839701,34.711143
BK170649,Kwitanda Health Centre,Kwitanda,Non-Government,Clinic,Functional,South West Zone,Balaka,Jan 1st 75,-15.06495,35.093
MG200650,L.M.J.Clinic,L.M.J Private Clinic,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,-14.29,35.1
BT240651,Lafarge Cement,Lafarge Cement Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.79231,35.02812
NT120652,Lake View Health Centre,Lake View Health Centre,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.64251,34.55371
ZA230653,Lambulira Health Centre,Chilombo,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,-15.4841,35.337
MU210654,Lauderdale Estate Clinic,Lauderdale,Government,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,-16.04331,35.53515
LL040655,Lemwe health centre,Lemwe health center,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.89,33.34
CK270656,Lengwe Estate Clinic,Lengwe Estate Clinic,Private,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,,
LL040657,Life Line Medical Clinic - Kasese,Life Line Medical Clinic - Kasese,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
LL040658,Life Line Medical Clinic - Ngozi,Life Line Medical Clinic - Ngozi,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
ZA230659,Lifelane Private clinic,Lifelane,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,-15.387836,35.318089
SA090660,Lifeline Health Centre,Lifeline health centre,Private,Health Centre,Functional,Central East Zone,Salima,Jan 1st 75,-14.09219,34.54437
MC190661,Lifune Maternity,Lifune,Government,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,-14.69513,35.70615
KU070662,Lifupa Dispensary,Lifupa,Government,Clinic,Non-functional,Central East Zone,Kasungu,Jan 1st 75,-13.048889,33.146944
SA090663,Lifuwu Health Centre,Lifuwu,Government,Health Centre,Functional,Central East Zone,Salima,Jan 1st 75,-13.67915,34.58878
LL040664,Lighthouse Clinic,Lighthouse,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.97639,33.78512
NE290665,Ligowe Health Centre,ligowe health centre,Government,Health Centre,Functional,South East Zone,Neno,Oct 5th 11,-15.47368,34.65182
